review,sentiment
"We have to remember that the 50's were practically a blank slate when it came to movies. Hollywood was in transition from patriotic war movies, noir, two reel oaters, etc to movies with a message. We had Blackboard Jungle, On the Waterfront and so on. Some folks might think that was an improvement. I don't. Who was the mogul who said: If you want to send a message, call Western Union? He was right. These psychological thrillers are less entertainment than some kind of remote therapy.<br /><br />This one is a pip. It's about three sisters trying to wrest control of their dead father's estate. One of them, maybe the only one worth redemption enlists the aid of the company pilot to help her keep the rest of the family at bay. He's initially in it for the bucks, but eventually falls for her. Meanwhile the rest of the family schemes to sabotage the romance. The results are predictable. You get a little bit of everything in this movie. Sexual tension between the sisters. A little subtle masochism. Hereditary insanity - if there is such a thing. We never get to meet the parents, but they must really have been screwed up The cast is practically unknown. One or two of the actors sound vaguely familiar. The acting is so bad it's hard to believe. It was released under the United Artists umbrella by a company called Bel-Air Productions. It was shot in and around LA mostly at night and probably without permits. The end was so bizarre that I thought it was a joke. It was as if they ran out of money and the producer decided to wrap it up in the middle of a scene.<br /><br />I can't explain it - not even to myself - but I gave this pile of trash an 8/10. I'm familiar with the term ""It's so bad it's good"", but I don't think I ever ran into the phenomenon before. Well, maybe ""Hot Rods to Hell"", but this one certainly fits. You might want to try this if you love movies that seem like they were made in somebody's basement.",positive
"I think I read this someplace: Joe Johnston (director of the film and also one of the guys who founded Industrial Light and Magic for work on the first Star Wars film) and one of his producers or something were racking their brains for a title for the movie, ""Rocket Boys"" (I guess) was lacking something.<br /><br />One day they were messing with a PC program that forms words from other words (ie: you type in a word or series of words and it mixes the letters up and forms other words) I think the technical term is an ""anagram""<br /><br />Anyway, they typed in ""Rocket Boys"" and sure enough what comes back is ""October Sky"". They were shocked to say the least. The title summed up everything in the movie since the movie revolves around Sputnik. At first Homer Jr did not like the idea, but he warmed up to it after the ""movie poster paperback novel"" came out and took off.",positive
"To understand ""Crash Course"" in the right context, you must understand the 80's in TV. Most TV shows didn't have any point. The sitcom outpopulated the drama at least 3 to 1. They were still figuring out where the lines were so that they could cross them. (TV Shows like ""Hail to the Chief"" was quite the bold step!) This made-for-TV movie ""Crash Course"" featured an All-Star cast, bringing together members from all the 80's classics: ""227"", ""Family Ties"", ""Who's the Boss?"", et al. Directors must've had a certain penchant for those all-star movies then. Still, this movie offered very light fare and a simplistic view of heroism and maturity. And that's not bad sometimes. Viva Soleil Moon Frye.",positive
"I watched this film with a group of friends at the 1999 Melbourne International Film Festival and no-one had a good word for it.<br /><br />I happen to love Bluegrass and Country Music so it's not as if I'm unsympathetic to the subject matter. But the problem is that at heart it's a very conservative movie- little more than a filmed Mills and Boon story. A bodice-ripper of the most simple-minded and soppy kind.<br /><br />It's not just that the love story at its heart, that between Reece and Dr. Lily Penleric is more than a tad unbelievable. (Why any male would be attracted to the nostril-flaring man-devouring Lily is beyond me, and frankly, Mike Harding as Reece seems to be just going through the motions).<br /><br />It's simply that the whole movie is too tame and well-mannered for its own good. There is precious little danger, dirt or drama. Sure there's a moment of ""excitement"" involving a school run by Lily's younger sister, but this whole episode is funnier than it is dramatic (it's just so poorly written and acted). And the movie betrays its conservative agenda in the manner in which this subplot is resolved.<br /><br />As for good old Reece Kinkaid (now, what's wrong with a name like Eberneezer Bumpass?) I ask you! Is the ending of this film believable? Fitting in with the character this film had earlier constructed? I think not...",negative
"Chris Penn is hilarious as the all-time stoner brother of Jeff spicoli. This movie is great because it was a lot more real and funnier than fast times at ridgemont high. Casting was perfect and one of my favorite soundtracks of almost all Eddie van halen which went on to become songs on ou812 and unlawful carnal knowledge. This movie is one of the great stoner film heroes with cheech and chong. Fast times was more depressing than funny. Abortions, friends cheating on friends, jerking off in bathrooms, bad jobs, and failing school. Someone must hate the eighties to like ridgemont more than the wild life. The film even had great cameos like the maker of city limits Michelle schocked in the liquor store or Ben Stein in his first role in the sunny's surplus store.",positive
"This is a documentary unlike any other. It has so many layers and shows us so much that trying to analyze it all at once is nearly impossible. Documentarian William Greaves shows us the process of film-making from a different perspective. We see the struggles of the actors, the director, the sound crew, and everybody else trying to hang in there and make this film successful. If this was just about a movie being made it would be ordinary. What Greaves does is make it more complex by having a crew film the actors, and then this will be filmed by another crew, only to have another crew film the whole thing. Three cameras, each with a different goal. It has an almost dizzying affect on you but at the same time is exciting. I like the parts where the crew organizes together and discusses what is going on. Even they are somewhat in the dark as to what Greaves is trying to do. Half see this as an experiment while the other half sees it as a chaotic and confusing failure. No matter what side you choose, you can't argue that Greaves doesn't get you involved in this process.",positive
"Franco proves, once again, that he is the prince of surreal & erotic cinema. True, much of his work can be viewed as entertaining sleaze but with Succubus (Necronomicon) he shows what he is truly capable of when he lets his warped creativity run riot and gives us a film that is both hypnotic and enigmatic whilst still maintaining the delirious eroticism intrinsic in his work. Jerry Van Rooyen's splendid score pulsates as the viewer is thrown from one bizarre scenario to another as we follow the trials of a striptease artist (Reynaud) who may be schizophrenic, or may indeed (as one mysterious character states) be a devil, attempt to come to terms with the world she inhabits. A beautiful and enigmatic piece of cinema highly recommended to anybody with even a passing interest in alternative cinema.",positive
"It's less visceral than the only other Tsai film I've seen (""Vive L'amour""), but the idea of doorways (holes) into others' emotions and existences is vividly portrayed here, as Tsai sets up long shot after long shot, usually with long takes, suggesting a sense of alienation in Taipei. The musical interludes, inspired by Grace Chang, are perplexing but welcome mile-markers that add new dimensions to the slowly evolving relationship between the young man upstairs and the woman downstairs. It's not necessarily an easy film to watch (although it's not heavy-handed by any means), so I'd warn any casual viewers who are looking for some ""indie"" entertainment (like Tarantino or Guy Ritchie). But if you'd like to know something about isolation among city-dwellers in Taiwan, and something more universal about city alienation and romantic yearning, then watch this film immediately.",positive
"this became a cult movie in chinese college students, though i havnt watched it until it is broadcasted in channel4, UK.<br /><br />full of arty giddy pretentions, the plot is mediocre and unreal; the 'spirit' it wants to convey is how independent artists 'resist the commercisliation of music industry' and maintain their' purity of an artistic soul' and wouldnt 'sell themselves for dirty money'. that is really giddy and superficial; the diologue are mainly pathetic. acting is poor. sceenplay is full of art pretention. it is a fantasy movie for kids and that;s all<br /><br />",negative
"Cannon pulled off a real visual beauty of a medieval epic that appears fascinating (except for the dragon prop). Now just how did the long-gone studio known for Chuck Norris movies ever come up with a complete lack of knowledge in the first place? Case in point: the amateurish acting and horrible plot is a sign that reviving the medieval legend is no cure for some lousy execution. They actually went on and made another cheap exploitationer featuring hundreds of lusty bimbos, just to make this look even better. For the two ""Barbarian Brothers"", they sure know how to make weird noises than becoming brave warriors so strong and bold enough to save their native land. This is the single greatest waste of potential I've seen from an ""expensive"" low-budget movie, and worse enough to let an axe strike through the gorgeous print without mercy. All of this followed an advertising campaign that sold T-shirts based on THE BARBARIANS! The movie alone makes a great souvenir!",negative
"This third Pokemon movie is too abstract for younger kids to follow and too repetitious to entertain older kids. The message of the film-- about dealing with loss-- is subverted by the return of the young girl's father during the film's credits. Team Rocket provide some amusement, but they're not really part of the small plot, so they don't appear very often.",negative
"Hailing from 1988, Touch Of Death is probably the most frustrating Fulci film I've seen to date, prompting me to join the chorus of horror fans who generalise that his films get worse as you get later into his career. Considering the plot synopsis, I was expecting some bloody bad-natured fun with this one, but for all its bizarre flourishes, it feels tedious even at a running time of just 80 minutes, and suffers from nauseatingly shabby production values and film-making craft (or lack thereof).<br /><br />El Story: A gambling addict widower wines and dines rich (and strange) women he finds via lonely hearts columns before offing them in gruesome fashion - sometimes eating them or feeding them to animals - and stealing their money to keep his debtors at bay. Sure, it's unlikely that just one man would be the host for so much screwed-up pathology all at once (addict, psycho/sociopath, cannibal), but this is Fulci!<br /><br />Touch is actually the cheapest and sparsest looking Fulci film I've seen. There's almost nobody in it, even in the background of shots out on the street, for instance. A newsreader who keeps appearing on the film's televisions to warn the non-existent cast about the maniac's latest doings operates out of the most pathetic TV studio on the planet. He never even gets to look at the camera because has to read all the headlines off misaligned sheets of paper.<br /><br />Some scenes just go on and on with the protagonist muttering to himself about what he's done or what he's about to do, but the acting is nowhere near good enough to sustain this kind of thing, so the main outcome is viewer boredom. The film also looks bland and ugly in general. I've read that it was intended to be an Italian telemovie (did it ever screen in that venue? With the amount of gore involved, it seems unlikely), and it does reek of crappy old telemovie production values.<br /><br />This is also Fulci's first foray into outright black humour, but he's just too graceless a director to make it work. Sometimes conspicuously cheerful or 'wacky' music is used to play against a gruesome scene, for instance while the hero/villain is carving up a dead body in his basement. The effect isn't really chilling or funny or ironic anything that you'd like it to be - it's mostly just hamfisted and crappy.<br /><br />There are of course some redeeming moments of gore (that you'll be waiting for while trying to stay awake), including the eventual murder by oven(!) of a woman who just won't quit life, even after her face has been totally bashed apart with a bloody great club, and a homeless guy who gets a car run back and forth over him about five times. The most outrageous element of Touch, however, is all the physical deformation on the widows courted by the crazy guy. Beards, hairy moles, messy harelips - it's not like he sought out women with these features, it's just the way all lonely hearts widows are, apparently. There are plenty of shots of Mr Crazy secretly grimacing while he's smooching up these women. The black humour of such garish misogyny might have some staying power or resonance if the film wasn't so poorly executed in general. In the end, Touch Of Death just seems like a really lazy, inarticulate mess.",negative
"This kind of angst can only be inside a young person who seeks very seriously his religion and his place in this world. As the text in the beginning of the movie says, these pictures are dead: They are the past already, and have been right from the moment when the product was ready. But that is only for the maker of these ""products"": Maybe to somebody, who is in the same frame of mind (I think very many people, at least of those who are seriously interested in religion, go through the same terrible angsts and doubts in their personal development). And that, of course, is the reason that art is made in the first place: Identification and consolation amongst fellow human beings.<br /><br />This film uses very well the ""classic"" technics of the experimental cinema. And this is where those technics are to my opinion in the best possible use: As an instrument in telling stories and creating atmosphere to them, not just as a pure abstractions or as an end in themselfes. Those ""tricks"" have already been made many enough times. Some other movies that I imagine have influenced/inspired this director, are ""Eraserhead"" and ""Nosferatu"". It's interesting how these technics make this movie totally timeless: There is nothing contemporary in this movie. Or nothing from any other specific time either. It could have been made a thousand years ago.<br /><br />It is interesting in this story how these people treat this new born holy child: They use it selfishly in their own purposes, and don't even try to listen to him. They beat him, rip off his intestines and castrate him. They drag his (living) body forcibly from place to place. And they do the same kind of violence to his mother. The story also reminds me of the Borges' short story ""El informe de Brodie"". Also the critique towards the practices of the Christian institutions reminds me of the great ""El Topo"".<br /><br />Unpleasant watch at times, but beautiful. Very simple, thought and concentrated. Very strong movie, almost too strong. The whole human energy has been concentrated to this. Also this movie shows that when you have the passion and ideas, you can make a movie with a round zero budget.<br /><br />But I have to admit, it was a bit hard to watch for a ""contemporary"" viewer like myself, because of the experimentality. It was so slow and demanding. But after all, worth the suffering. I have to give ten points just for the effort that somebody makes this kind of movie.",positive
"This is one of the best animated family films of all time. Moreover, virtually all of the serious rivals for this title came from the same creative mind of Hiyao Miyazaki and his Studio Ghibli. Specifically, other great films include ""My Neighbor Totoro"" and ""Kikki's Delivery Service."" Spirited Away is quite good, but a bit too creepy for typical family fare - better for teenagers and adult. The one thing that sets ""Laputa: Castle in the Sky"" apart from other films by Miyazaki is that it is far more of a tension-filled adventure ride.<br /><br />Why is this film so good? Because it's a complete package: the animation is very well done, and the story is truly engaging and compelling.<br /><br />Most Japanese anime is imaginative, but decidedly dark or cynical or violent; and the animation itself is often jerky, stylized, and juvenile. None of these problems plague Castle in the Sky. It has imagination to burn, and the characters are well drawn, if slightly exaggerated versions of realistic people. (None of those trench-coat wearing posers) There is plenty of adventure, but not blood and gore. The animation is smooth, detailed, and cinematic ally composed - not a lot of flat shots. The backgrounds are wonderful.<br /><br />The voice acting in the dubbed English version is first rate, particularly the two leads, Pazo (James Van der Beek) and Sheeta (Anna Paquin). The sound engineering is great, too. Use your studio sound, if you've got it.<br /><br />One aspect that I particularly enjoyed is that much of the back story is left unexplained. Laputa was once inhabited, and is now abandoned. Why? We never know. We know as much as we need to know, and then we just have to accept the rest, which is easy to do because the invented world is so fully realized. Indeed, it is fair to say that the world is more fully realized than most of the minor characters, who are for the most part one-dimensional stock characters (e.g., gruff general, silly sidekick, kooky old miner, etc.) Highly recommended for people aged 6 to 60!",positive
"Little Mosque is one of the most boring CBC comedies I have ever seen. They have a way of producing the easiest comedy programming they can for the oldest most-easily-offended viewers which for CBC means 85 year old farmers in Saskatchewan. The jokes are all predictable and so deathly lame I can't believe it. The performances are very hammy and over acted but I don't blame the actors since those kind of one dimensional stereotyped characters are probably exactly what the CBC asked for and demanded. Very lame show with bad jokes they tried to present as ""controversial"" well it is less controversial than the other boring CBC comedies like The Hour Has 22 Minutes, Royal Canadian Air Farce and Rick Mercer's Report.",negative
"This, like Murder She Wrote, is one of those shows, that after a stressful day at school, I sit down in front of the TV, and watch. Why? Because I genuinely enjoy it, and it's a shame it's not on the air anymore. Dick Van Dyke is amazing as Dr Mark Sloan, a doctor-turned-detective, who with his son, solves murders. He is joined by a largely unknown but very competent supporting cast, namely his real-life son, Barry Van Dyke. Victoria Rowell is also good, but I noticed that every series her hairstyle changes. i also liked Scott Baio and Charlie Schlatter, but I particularly loved Michael Tucci as Norman, and was puzzled how he suddenly disappeared. This show is so entertaining,with great guest stars, it's a bit obvious at times, like Colombo, but in every episode, there is always something to chuckle about. In conclusion, a great series, with two thumbs up and a 10/10. Bethany Cox",positive
"I could not even bring myself to watch this movie to the end. I cannot comment on the story as I did not watch the whole film and the reason I couldn't watch it was because of the 'actors'. Firstly, for the most part they just looked stiff and I'm sure their scripts were in their hands just out of frame - but that's a minor issue. The main issue I have with the actors isn't really their fault... it's whoever cast this film! Come on, this movie came out in 2003... I thought that casting people in their late twenties to play teenagers went out of fashion with new wave?! I cannot watch a movie where one of the first lines, from a grown man older than myself, is ""I'm 17!"" How can anyone take that seriously????? Don't fall victim to this movie, go out for a walk for 90 minutes and you'll get far more than this movie could ever give.",negative
"SPOILERS <br /><br />As you may know, I have been commenting on a lot of silent short films in the past months. Now, I have no idea why I am commenting on Steamboat Willie, I guess I was just desperate to comment on anything, so I watched this, and now I am commenting on it. This, or course, is one of the very first cartoons, and I believe it is not the first cartoon with sound. <br /><br />Here is the plot. Mickey Mouse is driving a steamboat when Pete throws him off and he drives it. When they stop for cargo Minnie Mouse tried to get on but failed miserably. Mickey gets her up by a crane. Then a goat eats her sheet of paper with Turkey in the Straw on it. They use the goat to make the song. When I say that I mean that they used the goat as a Victrola. Mickey plays the animals on the steamboat for instruments to the song. Then an angry Pete throws Mickey in a potato room and Mickey is forced to peel potatoes for the rest of the day.<br /><br />Overall, this is yet another groundbreaking silent short film. I mean, this is the third Mickey Mouse cartoon. Yes, the third. Also, this is not the first cartoon with sound. I believe there were two more before this one. Either way, this film is really, really groundbreaking. Mikcey was also more violent than he is mow. I mean, he throws a potato at a bird and may have brutally slaughtered it. <br /><br />9/10<br /><br />Recommended Films: Plane Crazy.",positive
"Nothing like this was seen on TV at that time and probably never will again. From the first image of that police light blinding you and from there you heard the words: ""Police Squad - in color"", you were schocked to see that this in no way was an ordinary sitcom.<br /><br />Also to kill off a ""Guest Star"" and then never refer to him again, where had you ever seen that before. Then the actual show started and if you did not pay attention, you would miss several jokes in the background. Don't pay too much attention to one thing or you would be sorry. This was the show that video recorders were made for, way before Married with Children or The Simpsons.<br /><br />The stories did in no way make sense and the dialog was sometimes so weird that you had to think about it for 5 minutes before realising that it was a joke.<br /><br />The characters Frank Drebin and Ed Hocken came right out of Dragnet and they were absolutely straight (no funny accents or expressions) but instead there were puns and twisted sentences played absolutely deadpan. Only once as I can remember, were there a segment played for silly laughs - a scene involving a trip to a dentist, suction and a whole lot of saliva.<br /><br />There were some tedious moments - like the informer Johnny and an appearance by some celebrity. That was strictly a one-joke moment but they had to use it in all six episodes. Oh, well. Everything can't be perfect. The important thing is that the rest of the time you were knee deep in tears of laughter.<br /><br />Leslie Nielsen was fortunate that this revived his career when they put the Frank Drebin character in 3 features but it must have been an Achilles heel as well. Can you remember seeing him in anything except Naked Gun type work since? And don't count the awful Mr. Magoo reworked for live action. He probably made a lot of money, though.",positive
"This movie is pretty cheesy, but I do give it credit for at least trying to provide some characterization for it's principles. There are some great moments in the film and the dialogue has some great moments as well.<br /><br />The aerial assault sequence is perhaps the best part of the movie.<br /><br />I guess I really like the idea of what lengths a veteran will go for a fellow veteran. Sure it's not all that well done, but the premise is not at all bad.<br /><br />Tom",positive
"John Pressman (Micheal 'I shoulda called Ditech' Lerner) works at a doctor's office as an orderly. His mother (Zelda 'Poltergeist' Rubenstein) hypnotizes him to off the people who see thinks wronged him. But this turns out to be a movie within a movie, but the lines soon blur as John goes a movie theater to kill. Prompting a guy who's watching the movie to do the same. Lerner is suitably over the top in this, but Zelda repeats lines of dialog over and over again. That gets annoying fast. But not as annoying as the two girls who are watching the movie within a movie.As a horror film this one fails, it's too busy trying to be clever, trying to impart a message and seems to forget a slasher film must evoke a sense of tension, or at least a jump or two. No, what we have here is the worst kind of slasher: An art-house one.<br /><br />My Grade: D+",negative
